MAG ID	N50 length	Depth	Completeness	group	group2
XZ1.bin133	76760	19.92	86.03	80	>80
GX3.bin161	76755	108.76	94.63	90	>90
AH1.bin084	76681	524.69	80.98	80	>80
XZ3.bin052	76486	23.57	91.05	90	>90
AH1.bin133	76483	26.01	77.4	70	>70
SD4.bin129	76470	44.12	100	90	>90
SD5.bin052	76417	18.57	87.92	80	>80
AH3.bin037	76415	33.02	93.79	90	>90
SD2.bin141	76401	18.66	72.04	70	>70
GX4.bin128	76397	56.73	91.16	90	>90
SX2.bin019	76376	37.68	92	90	>90
JL2.bin103	76365	467.02	91.29	90	>90
XZ4.bin034	76352	36.12	98.43	90	>90
JL4.bin042	76351	34.97	74.6	70	>70
SD5.bin123	76351	47.43	86.97	80	>80
GX3.bin004	76319	22.27	91.27	90	>90
AH4.bin065	76255	20.47	88.23	80	>80
SX3.bin109	76168	93.2	82.14	80	>80
XZ1.bin111	76152	78.68	82.93	80	>80
AH3.bin171	76125	22.48	93.78	90	>90
AH4.bin029	76124	19.95	88.03	80	>80
XZ2.bin054	76119	59.5	89.29	80	>80
SX3.bin112	76048	17.84	96.26	90	>90
AH4.bin191	76030	902.74	84.35	80	>80
GX1.bin005	75998	32.65	95.33	90	>90
SD1.bin073	75966	64.82	96.76	90	>90
SD4.bin039	75955	96.57	92.31	90	>90
AH3.bin168	75936	47.93	93.8	90	>90
JL4.bin073	75895	42.19	77.18	70	>70
JL2.bin041	75871	34.93	96.98	90	>90
SD3.bin069	75822	33.06	91.5	90	>90
JL5.bin089	75704	15.35	88.49	80	>80
AH3.bin194	75686	271.08	79.25	70	>70
AH3.bin061	75684	21.93	74.97	70	>70
SX5.bin040	75653	96.67	98.65	90	>90
GX5.bin081	75567	75.25	85.17	80	>80
JL2.bin150	75548	26.72	83.65	80	>80
AH3.bin155	75492	93.31	89.49	80	>80
JL1.bin175	75475	28.87	95.6	90	>90
SX3.bin029	75415	37.83	97.38	90	>90
JL2.bin011	75414	164.7	91.32	90	>90
JL2.bin002	75316	365.21	91.67	90	>90
AH4.bin064	75288	25.83	94.5	90	>90
AH2.bin166	75251	22.57	96.06	90	>90
JL4.bin007	75211	17.56	72.2	70	>70
GX1.bin032	75137	31.22	86.84	80	>80
SD5.bin033	75135	46.22	95.18	90	>90
GX4.bin151	75084	30.81	87.81	80	>80
SD2.bin184	75078	27.01	98.39	90	>90
AH5.bin034	75052	22.05	93.37	90	>90
SX5.bin083	75037	28.47	83.08	80	>80
SD4.bin083	75034	24.65	93.4	90	>90
SD1.bin155	75016	25.02	94.53	90	>90
AH4.bin058	74986	28.64	80.58	80	>80
AH3.bin083	74978	22.53	97.18	90	>90
AH1.bin016	74920	290.36	78.38	70	>70
SD2.bin163	74810	20.7	90.31	90	>90
SX3.bin006	74806	62.27	90.64	90	>90
AH3.bin001	74797	21.33	93.74	90	>90
JL5.bin063	74789	21.99	94.25	90	>90
JL4.bin104	74771	28.04	91.28	90	>90
GX3.bin014	74765	173.55	88.7	80	>80
SX2.bin142	74759	44.87	83.71	80	>80
GX3.bin007	74737	19.94	96.53	90	>90
SD3.bin095	74673	24.63	93.01	90	>90
XZ2.bin057	74649	173.13	88.56	80	>80
GX1.bin071	74588	95.83	77.81	70	>70
XZ3.bin117	74502	100.04	100	90	>90
SD1.bin118	74482	95.45	94.44	90	>90
JL2.bin083	74462	19.15	89.7	80	>80
GX5.bin139	74438	29.6	96.5	90	>90
AH1.bin035	74430	78.03	96.88	90	>90
AH2.bin005	74386	41.41	86.55	80	>80
AH5.bin035	74292	117.3	80.2	80	>80
SD1.bin111	74292	30.81	79.42	70	>70
XZ1.bin116	74264	16.65	95.51	90	>90
SD2.bin053	74160	28.84	85.74	80	>80
SD2.bin084	74158	24.22	85.48	80	>80
JL1.bin165	74137	19.74	76.22	70	>70
JL5.bin014	74127	70.08	93.94	90	>90
AH3.bin159	74103	205.73	97.9	90	>90
SD4.bin024	74070	175.03	94.76	90	>90
SX4.bin041	74050	26.14	92.62	90	>90
XZ1.bin026	74025	64.11	86.54	80	>80
AH3.bin042	73913	71.37	79.81	70	>70
XZ4.bin169	73889	31.52	81.88	80	>80
JL2.bin155	73851	207.33	94.32	90	>90
SD1.bin156	73768	23.29	92.34	90	>90
AH4.bin126	73744	23.53	93.99	90	>90
AH4.bin124	73743	46.64	72.51	70	>70
GX2.bin075	73725	19.95	93.86	90	>90
SD2.bin118	73680	25.16	79.2	70	>70
SD4.bin066	73656	36.91	76.1	70	>70
AH3.bin111	73641	17.13	70.16	70	>70
AH2.bin149	73620	146.82	84.62	80	>80
SD5.bin121	73602	20.69	96.14	90	>90
XZ4.bin035	73593	107.15	87.07	80	>80
JL1.bin060	73553	46.09	93.62	90	>90
SD3.bin015	73517	24.59	86.37	80	>80
SX2.bin012	73487	55.31	95.74	90	>90
XZ1.bin127	73481	24.93	89.43	80	>80
XZ4.bin023	73462	18.25	71.34	70	>70
SD3.bin003	73442	46.75	94.57	90	>90
SD5.bin030	73433	111.34	93.6	90	>90
JL1.bin130	73429	234.92	74.93	70	>70
XZ4.bin100	73356	18.73	93.44	90	>90
XZ5.bin007	73330	125.48	78.36	70	>70
GX3.bin011	73300	60.25	75.05	70	>70
AH5.bin154	73281	78.1	74.05	70	>70
SX1.bin025	73260	35.67	81.04	80	>80
SD5.bin053	73223	40.21	91.05	90	>90
JL5.bin120	73215	20.56	79.34	70	>70
SD2.bin160	73175	19.44	97.67	90	>90
XZ4.bin026	73128	35.82	94.87	90	>90
AH2.bin144	73094	21.71	94.63	90	>90
JL2.bin109	73091	31.54	81.13	80	>80
SD1.bin078	73083	28.93	87.19	80	>80
XZ3.bin047	73002	94.61	90.09	90	>90
XZ4.bin053	72994	69.61	97.58	90	>90
AH4.bin151	72912	41.1	94.41	90	>90
SD3.bin091	72823	23.33	93.92	90	>90
SD5.bin140	72761	21.46	88.92	80	>80
SX3.bin066	72723	24.31	86.98	80	>80
SX3.bin020	72715	17.86	93.54	90	>90
SX3.bin107	72712	29.59	97.85	90	>90
GX2.bin006	72664	92.1	94.9	90	>90
AH1.bin151	72659	28.53	97.09	90	>90
SD3.bin155	72649	110.44	94.6	90	>90
JL2.bin119	72645	60.9	96.77	90	>90
GX2.bin033	72640	59.53	90.11	90	>90
SD4.bin067	72622	25.68	94.18	90	>90
AH5.bin162	72598	30.93	90.06	90	>90
JL1.bin090	72590	41.22	93.02	90	>90
XZ1.bin077	72575	78.82	79.06	70	>70
SD4.bin018	72559	150.24	96.77	90	>90
SX4.bin001	72552	42.53	74.5	70	>70
XZ3.bin025	72505	19.51	87.02	80	>80
AH5.bin059	72432	80.34	97.32	90	>90
GX3.bin043	72394	163.13	97.85	90	>90
GX2.bin128	72364	69.93	74.94	70	>70
SD2.bin162	72279	27.91	71.23	70	>70
JL5.bin025	72262	82.42	71.28	70	>70
AH4.bin026	72179	69.11	99.16	90	>90
SX1.bin096	72149	56.58	91.32	90	>90
SD5.bin014	72128	29.99	86.78	80	>80
JL4.bin011	72127	20.07	93.24	90	>90
GX5.bin013	72112	61.27	93.96	90	>90
AH4.bin005	72023	127.29	88.63	80	>80
SD3.bin038	71925	57.91	99.33	90	>90
SD5.bin115	71892	60.97	70.18	70	>70
SX3.bin091	71769	62.77	83.67	80	>80
XZ4.bin054	71716	58.25	93.17	90	>90
SD5.bin083	71649	17.2	78.97	70	>70
GX1.bin148	71643	57.61	79.5	70	>70
XZ4.bin055	71630	148.29	91.88	90	>90
GX1.bin143	71628	18.54	93.35	90	>90
AH2.bin134	71572	29.89	86.49	80	>80
AH2.bin022	71565	39.16	91.05	90	>90
JL4.bin101	71544	53.23	86.42	80	>80
SX2.bin089	71536	19.85	98.92	90	>90
JL3.bin073	71486	19.88	82.93	80	>80
AH5.bin145	71476	81.82	98.67	90	>90
SX5.bin004	71471	42.82	90.79	90	>90
GX3.bin056	71423	29.22	76.13	70	>70
JL2.bin133	71409	197.99	85.23	80	>80
SD1.bin086	71332	29.68	91.89	90	>90
JL1.bin042	71293	79.29	70.99	70	>70
SD1.bin132	71292	20.36	74.18	70	>70
SD4.bin124	71289	32.61	86.49	80	>80
AH2.bin160	71284	16.58	77.68	70	>70
AH2.bin133	71273	41.01	92.37	90	>90
AH3.bin192	71270	71.49	92.9	90	>90
GX4.bin030	71239	21.09	87.88	80	>80
SX4.bin029	71185	58.54	96.64	90	>90
AH5.bin018	71033	17.35	82.1	80	>80
GX4.bin013	71032	120.99	72.75	70	>70
SX4.bin064	71001	46.36	72.35	70	>70
XZ3.bin053	70940	30.9	93.82	90	>90
XZ5.bin050	70931	20.23	76.34	70	>70
SX2.bin084	70910	40.04	93.73	90	>90
XZ3.bin014	70844	256.28	71.75	70	>70
SD3.bin072	70780	120.3	71.1	70	>70
XZ1.bin053	70779	28.8	75.28	70	>70
AH3.bin090	70767	45.54	84.4	80	>80
AH5.bin139	70766	103.9	70.56	70	>70
JL5.bin003	70752	25.71	96.2	90	>90
GX5.bin105	70740	54.12	92.73	90	>90
JL2.bin013	70728	19.45	87.77	80	>80
AH3.bin116	70553	29.51	89.8	80	>80
GX2.bin010	70503	21.21	81.21	80	>80
JL4.bin143	70496	27.19	88.71	80	>80
SX2.bin083	70468	17.95	91.04	90	>90
SX3.bin001	70197	32.84	89.9	80	>80
SD5.bin089	70094	19.05	72.2	70	>70
JL1.bin074	70056	26.23	78.19	70	>70
XZ1.bin131	69964	58.9	89.79	80	>80
AH1.bin004	69913	19.15	96.67	90	>90
GX3.bin068	69906	29.17	81.29	80	>80
AH3.bin112	69821	29.11	76.93	70	>70
SX5.bin070	69817	24.78	86.06	80	>80
SD5.bin135	69807	22.74	80.16	80	>80
GX1.bin051	69806	21.78	73.92	70	>70
AH3.bin078	69794	34.02	81.43	80	>80
SD5.bin028	69585	392.3	89.26	80	>80
SX1.bin005	69538	30.21	76.29	70	>70
SD2.bin050	69537	38.99	82.6	80	>80
XZ4.bin078	69534	136.39	90.11	90	>90
GX4.bin134	69525	25	98.66	90	>90
GX3.bin107	69516	20.18	96.39	90	>90
AH2.bin199	69512	33.37	98.09	90	>90
XZ2.bin014	69487	105.35	91.76	90	>90
AH4.bin167	69444	37.2	77.85	70	>70
AH5.bin025	69410	56.8	86.86	80	>80
XZ2.bin005	69394	27.23	98.25	90	>90
AH1.bin055	69367	873.76	74	70	>70
AH4.bin138	69327	20.62	90.6	90	>90
SD1.bin045	69243	38.64	98.56	90	>90
JL4.bin130	69239	42.68	85.68	80	>80
SX1.bin026	69142	30.18	73.59	70	>70
XZ5.bin103	69132	72.31	75.84	70	>70
AH1.bin111	69101	45.99	87.92	80	>80
GX4.bin100	69094	16.78	97.28	90	>90
XZ1.bin160	69094	17.49	95.5	90	>90
XZ1.bin032	69026	43.78	75.23	70	>70
JL2.bin062	68999	43.39	81.18	80	>80
GX3.bin099	68964	158.45	97.06	90	>90
SD5.bin071	68955	94.13	94.27	90	>90
SX1.bin015	68924	381.24	77.71	70	>70
XZ2.bin105	68920	21.56	88	80	>80
GX3.bin071	68906	23.36	90.1	90	>90
SX2.bin043	68903	32.02	83.35	80	>80
JL5.bin058	68871	172.17	77.12	70	>70
GX3.bin036	68849	62.69	94.67	90	>90
JL4.bin024	68812	41.93	93.91	90	>90
SX5.bin005	68803	53.66	70.4	70	>70
JL2.bin101	68790	164.34	79.73	70	>70
SD4.bin013	68777	42.26	92.83	90	>90
XZ4.bin091	68749	47.21	89.6	80	>80
GX5.bin116	68687	46.86	94.79	90	>90
XZ1.bin042	68644	28.03	95.19	90	>90
SD4.bin042	68639	17.09	74.44	70	>70
XZ3.bin077	68590	23.24	81.88	80	>80
AH1.bin071	68518	39.3	76.4	70	>70
JL2.bin094	68475	28.09	83.42	80	>80
SX2.bin146	68438	69.39	86.49	80	>80
SD5.bin016	68426	22.46	88.76	80	>80
AH3.bin094	68412	32.39	94.4	90	>90
SD2.bin083	68372	17.17	98.41	90	>90
SX2.bin010	68347	34.61	91.05	90	>90
AH4.bin165	68337	51.12	86.56	80	>80
GX2.bin005	68316	20	93.02	90	>90
JL2.bin040	68277	27.45	91.29	90	>90
AH3.bin146	68258	230.07	70.14	70	>70
SX2.bin081	68197	129.7	72.06	70	>70
AH2.bin192	68171	22.3	71.44	70	>70
SD1.bin161	68157	47.74	96.77	90	>90
JL2.bin116	68115	33.92	100	90	>90
SX2.bin092	68104	28.08	84.83	80	>80
JL4.bin111	68078	24.35	77.34	70	>70
SD3.bin083	68053	19.38	97.18	90	>90
SD5.bin082	68053	75.36	74.07	70	>70
XZ5.bin133	68052	29.46	93.6	90	>90
SD2.bin117	68020	60.97	76.33	70	>70
XZ4.bin095	67965	24.12	86.08	80	>80
GX1.bin028	67938	71.46	76.51	70	>70
AH4.bin193	67915	60.23	85.58	80	>80
JL4.bin098	67907	268.21	95.51	90	>90
SX1.bin001	67879	35.22	80.65	80	>80
SD3.bin034	67833	70.73	97.62	90	>90
JL1.bin128	67795	45.68	90.75	90	>90
SD5.bin069	67766	50.15	95.5	90	>90
SD2.bin025	67753	39.9	91.29	90	>90
SX2.bin061	67710	227.79	92.85	90	>90
GX1.bin024	67708	16.84	96.14	90	>90
SD4.bin143	67670	29.93	82.8	80	>80
SD5.bin117	67655	30.03	92.06	90	>90
AH4.bin125	67628	35.72	85.13	80	>80
AH2.bin070	67588	28.78	74.93	70	>70
AH5.bin070	67510	61.82	73.6	70	>70
SX1.bin008	67483	43.86	95.08	90	>90
SD5.bin031	67482	24.39	94.41	90	>90
SX4.bin047	67436	29.91	83.22	80	>80
SX4.bin112	67431	322.34	86.73	80	>80
XZ4.bin070	67299	30.03	94.41	90	>90
XZ5.bin138	67265	18.42	96.5	90	>90
AH3.bin073	67263	773.67	91.84	90	>90
SD3.bin081	67215	27.27	97.26	90	>90
SD1.bin084	67101	35.85	94.84	90	>90
SX4.bin081	67049	209.45	85.82	80	>80
XZ1.bin103	67030	42.68	93.33	90	>90
XZ3.bin043	66957	21.32	86.42	80	>80
GX1.bin113	66952	32.31	99.33	90	>90
GX3.bin025	66933	39.94	91.36	90	>90
XZ2.bin147	66872	25.28	96.42	90	>90
JL4.bin014	66782	59.19	91.28	90	>90
GX2.bin040	66712	19.03	94.46	90	>90
GX2.bin097	66702	26.24	91.38	90	>90
JL4.bin110	66699	81.47	87.92	80	>80
XZ4.bin007	66698	52.32	83.05	80	>80
GX4.bin027	66680	17.21	87.81	80	>80
SD2.bin146	66666	19.92	92.31	90	>90
XZ2.bin047	66608	15.26	96.18	90	>90
JL2.bin136	66557	605.04	95.56	90	>90
AH3.bin199	66529	35.97	83.52	80	>80
JL2.bin065	66487	876.66	82.37	80	>80
SD2.bin067	66471	56.98	100	90	>90
GX1.bin114	66434	68.77	99.3	90	>90
AH1.bin095	66320	14.22	83.71	80	>80
XZ5.bin134	66320	26.82	97.2	90	>90
GX3.bin177	66312	34.77	90.75	90	>90
AH3.bin183	66279	36.23	95.74	90	>90
AH2.bin084	66249	22.17	85.89	80	>80
GX4.bin122	66211	91.7	82.58	80	>80
XZ3.bin105	66208	58.53	88.26	80	>80
GX5.bin047	66079	22.8	80.65	80	>80
XZ4.bin131	66079	126.98	86.07	80	>80
AH5.bin111	66053	15.88	70.37	70	>70
AH1.bin106	65978	24.33	93.24	90	>90
SX2.bin070	65976	81.98	100	90	>90
SD3.bin146	65967	31.81	90.59	90	>90
SX4.bin108	65967	17.08	87.17	80	>80
AH5.bin128	65935	22.7	71.92	70	>70
AH1.bin162	65891	16.31	98.39	90	>90
GX5.bin126	65866	44	89.62	80	>80
AH2.bin018	65844	134.03	84.13	80	>80
SD2.bin094	65843	18.19	86.22	80	>80
SD3.bin019	65832	20.2	87.92	80	>80
GX3.bin133	65824	76.21	100	90	>90
SD5.bin040	65800	17.81	90.88	90	>90
AH1.bin048	65764	16.34	79.01	70	>70
XZ5.bin059	65753	14.85	96.2	90	>90
GX3.bin097	65744	79.59	90.18	90	>90
SD3.bin188	65735	45.72	93.4	90	>90
SD3.bin108	65727	42.57	89.04	80	>80
XZ3.bin065	65697	72.73	79.86	70	>70
GX1.bin103	65673	30.5	78.87	70	>70
XZ5.bin121	65629	114.8	82.72	80	>80
SX3.bin034	65572	60.61	82.39	80	>80
SD4.bin085	65556	21.77	92.95	90	>90
JL2.bin018	65551	555.23	71.56	70	>70
XZ2.bin122	65524	18.94	82.1	80	>80
SD5.bin037	65460	56.98	90.73	90	>90
JL2.bin118	65459	49.09	100	90	>90
GX3.bin081	65370	24.53	96.51	90	>90
GX1.bin031	65341	26.25	90.36	90	>90
AH2.bin037	65328	296.03	95.7	90	>90
JL1.bin138	65325	18.82	87.7	80	>80
JL4.bin006	65309	21.61	90.49	90	>90
SD1.bin001	65295	20.96	76.34	70	>70
SD4.bin156	65295	180.5	99.07	90	>90
JL5.bin011	65143	25.1	95.41	90	>90
SX5.bin112	65107	17.35	82.45	80	>80
XZ3.bin050	65100	18.03	95.88	90	>90
XZ3.bin036	65087	21.37	86.15	80	>80
SX4.bin030	65086	44.33	97.06	90	>90
AH3.bin031	65031	38.5	82.1	80	>80
SD5.bin004	64982	27.95	75.6	70	>70
JL2.bin168	64978	576.53	89.35	80	>80
GX3.bin180	64951	30.01	97.99	90	>90
JL5.bin006	64904	17.84	91.89	90	>90
SX3.bin129	64869	22.11	97.31	90	>90
AH5.bin002	64770	21.98	95.09	90	>90
XZ3.bin132	64721	31.92	89.91	80	>80
SX3.bin048	64690	37.81	87.62	80	>80
XZ4.bin144	64645	19.91	100	90	>90
XZ5.bin111	64637	28.64	80.63	80	>80
JL3.bin033	64568	39.6	95.97	90	>90
XZ3.bin055	64542	24.06	83.83	80	>80
GX4.bin155	64536	140.32	71.4	70	>70
SX1.bin104	64462	23.14	96.43	90	>90
GX2.bin011	64447	26.65	99.37	90	>90
SD1.bin178	64353	17.55	80.7	80	>80
XZ4.bin044	64346	87.78	79.22	70	>70
JL3.bin099	64327	50.99	87.73	80	>80
SX4.bin004	64128	1901.33	74.14	70	>70
XZ4.bin017	64097	58.27	91.74	90	>90
JL1.bin118	64060	58.87	96.77	90	>90
GX2.bin114	64043	237.34	89.44	80	>80
AH4.bin046	64013	18.96	77.42	70	>70
SD4.bin174	64004	28.49	95.48	90	>90
SX4.bin039	63998	53.48	91.55	90	>90
AH4.bin036	63977	114.04	77.27	70	>70
JL4.bin029	63901	35.14	73.48	70	>70
GX2.bin063	63899	28.78	95.41	90	>90
SD5.bin152	63838	84.68	95.64	90	>90
SD5.bin157	63833	41.47	94.63	90	>90
GX1.bin164	63814	118.66	90.7	90	>90
AH2.bin019	63792	117.14	94.09	90	>90
SD5.bin010	63777	18.48	78.8	70	>70
GX1.bin003	63735	66.05	87.55	80	>80
AH3.bin039	63729	118.42	95.71	90	>90
GX5.bin041	63695	21.99	85.68	80	>80
JL2.bin001	63662	18.11	94.63	90	>90
GX5.bin074	63649	20.75	91.39	90	>90
SD2.bin139	63585	69.7	76.7	70	>70
AH1.bin067	63572	31.13	76.66	70	>70
AH4.bin105	63539	22.58	87.67	80	>80
AH3.bin016	63526	260.36	84.27	80	>80
JL5.bin133	63499	19.43	94.4	90	>90
JL5.bin061	63495	15.98	92.31	90	>90
SX5.bin008	63404	24.51	88.8	80	>80
SD3.bin107	63402	57.66	96.92	90	>90
GX5.bin066	63376	55.1	71.41	70	>70
XZ5.bin108	63316	28.04	85.03	80	>80
AH4.bin030	63307	540.26	79.24	70	>70
JL4.bin004	63300	16.89	93.73	90	>90
SX2.bin033	63187	71.53	93.15	90	>90
SX5.bin054	63181	53.05	91.63	90	>90
JL5.bin045	63164	31.76	98.02	90	>90
GX1.bin020	63143	28.9	73.15	70	>70
SD4.bin191	63119	27	82.02	80	>80
SX5.bin098	63061	27.99	91.17	90	>90
AH3.bin127	63020	19.97	91.72	90	>90
SD3.bin008	62937	28.26	79.03	70	>70
AH1.bin153	62918	15.43	85.83	80	>80
SX5.bin072	62900	35.3	88.59	80	>80
JL3.bin082	62854	25.25	89.2	80	>80
GX1.bin117	62844	20.94	87.92	80	>80
JL2.bin125	62812	58.47	82.21	80	>80
GX5.bin057	62789	29.7	97.24	90	>90
SD3.bin194	62787	23.46	81.08	80	>80
GX2.bin085	62754	165.36	84.16	80	>80
JL4.bin121	62724	60.5	77.62	70	>70
SX1.bin086	62713	69.8	78.84	70	>70
XZ1.bin010	62679	17.76	91.55	90	>90
AH3.bin086	62600	220.19	70.63	70	>70
XZ4.bin167	62569	34.28	85.33	80	>80
AH4.bin161	62554	24.8	72.21	70	>70
SX3.bin145	62546	63.41	90.88	90	>90
AH4.bin192	62526	18.85	99.63	90	>90
XZ2.bin111	62474	32.35	93.06	90	>90
AH2.bin100	62469	26.71	74.61	70	>70
GX1.bin133	62425	20.73	96.51	90	>90
XZ4.bin161	62412	29.42	88.68	80	>80
SX1.bin114	62407	50.53	96.49	90	>90
AH2.bin158	62400	36.37	84.1	80	>80
AH3.bin040	62376	19.71	88.6	80	>80
SX3.bin097	62328	131.13	96.37	90	>90
JL4.bin168	62182	34	87.84	80	>80
JL3.bin092	62163	55.65	86.39	80	>80
SX5.bin092	62149	56.46	95.39	90	>90
GX4.bin081	62126	21.4	83.48	80	>80
SD5.bin149	62116	91.95	87.64	80	>80
SX1.bin100	62079	21	93.65	90	>90
SD2.bin113	62073	74.18	87.87	80	>80
GX5.bin053	62072	36.31	78.48	70	>70
GX5.bin089	62059	27.4	75.83	70	>70
XZ2.bin006	62030	21.52	78.97	70	>70
XZ1.bin138	61999	24.16	93.06	90	>90
AH3.bin024	61977	30.29	86.46	80	>80
GX2.bin170	61975	22.76	89.93	80	>80
AH3.bin034	61974	82.48	72.6	70	>70
GX4.bin025	61951	33.96	95.58	90	>90
AH2.bin138	61894	66.95	100	90	>90
GX3.bin118	61868	125.85	75.79	70	>70
SX3.bin062	61860	53.49	81.29	80	>80
XZ4.bin152	61830	20.15	88.9	80	>80
SX2.bin125	61805	131.46	91.58	90	>90
AH2.bin079	61802	41.11	74.82	70	>70
AH5.bin067	61773	20.8	86	80	>80
GX1.bin011	61744	20.69	95.04	90	>90
AH5.bin160	61738	58.68	89.52	80	>80
GX5.bin127	61727	19.98	89.71	80	>80
SX1.bin085	61663	40.32	99.55	90	>90
XZ5.bin047	61662	25.6	74.71	70	>70
AH2.bin054	61629	315.03	97.2	90	>90
JL1.bin015	61615	20.55	89.48	80	>80
XZ1.bin089	61608	17.53	91.52	90	>90
AH5.bin013	61606	19.79	77.18	70	>70
AH3.bin004	61585	40.51	86.1	80	>80
XZ2.bin113	61532	29.35	93.29	90	>90
AH5.bin057	61521	123.08	80.87	80	>80
AH1.bin167	61486	17.65	75.45	70	>70
AH1.bin115	61478	160.7	73.38	70	>70
SD3.bin184	61447	21.34	90.58	90	>90
GX5.bin048	61406	715.87	80.49	80	>80
GX2.bin070	61384	18.3	87.26	80	>80
XZ4.bin105	61348	116.18	92.52	90	>90
XZ5.bin069	61322	23.25	88.81	80	>80
SX1.bin013	61311	44.44	89.83	80	>80
SX5.bin036	61210	24.87	85.21	80	>80
AH2.bin152	61191	21.96	80.76	80	>80
GX4.bin107	61189	16.39	89.89	80	>80
AH3.bin196	61185	38.53	98.66	90	>90
GX2.bin038	61157	17.21	73.7	70	>70
SD3.bin200	61146	21.93	92.34	90	>90
SX2.bin001	61144	48.03	85.31	80	>80
SD1.bin022	61048	33.21	77.28	70	>70
GX2.bin135	60994	40.35	84.17	80	>80
GX1.bin042	60985	55.96	95.01	90	>90
GX3.bin065	60930	46.93	87.36	80	>80
SD1.bin014	60923	19.22	89.49	80	>80
GX2.bin163	60903	98.57	86.43	80	>80
XZ5.bin009	60865	17.41	81.71	80	>80
AH2.bin080	60824	26.99	95.08	90	>90
XZ5.bin135	60820	24.9	87.67	80	>80
XZ4.bin011	60812	32.18	92.31	90	>90
AH1.bin110	60796	18.46	99.33	90	>90
XZ5.bin105	60764	18.77	87.81	80	>80
SD1.bin071	60698	32.53	77.52	70	>70
GX4.bin108	60626	19.83	94.91	90	>90
SD4.bin086	60564	26.62	87.63	80	>80
XZ3.bin017	60459	31.91	79.53	70	>70
AH1.bin168	60374	29.18	82.5	80	>80
SD1.bin042	60286	22.22	85.9	80	>80
AH5.bin092	60284	25.99	96.31	90	>90
XZ1.bin144	60276	26.22	87.41	80	>80
SD1.bin012	60246	19.32	91.28	90	>90
GX5.bin014	60163	91.08	95.4	90	>90
XZ4.bin142	60103	17.78	91.39	90	>90
AH4.bin195	60040	35.57	97.15	90	>90
XZ1.bin117	60021	59.74	91.07	90	>90
JL1.bin122	60005	22.57	83.92	80	>80
AH3.bin008	60002	23.1	92.79	90	>90
AH2.bin108	59975	23.22	91.5	90	>90
GX1.bin097	59968	148.56	88.33	80	>80
SD1.bin017	59932	101.95	87.16	80	>80
SX3.bin007	59926	24.18	90.99	90	>90
JL4.bin128	59894	29.1	71.97	70	>70
XZ2.bin132	59879	15.73	74.78	70	>70
GX5.bin071	59864	18.55	76.96	70	>70
XZ5.bin088	59837	16.09	79.22	70	>70
SX3.bin035	59729	23.32	86	80	>80
AH2.bin010	59720	60.71	88.66	80	>80
XZ4.bin104	59690	20.34	91.38	90	>90
GX1.bin170	59685	17.8	91.95	90	>90
AH5.bin052	59665	86.24	84.63	80	>80
SD5.bin081	59649	25.13	91.05	90	>90
JL2.bin147	59639	157.99	94.77	90	>90
SD5.bin018	59621	16.97	84.32	80	>80
SD4.bin184	59585	590.36	74.68	70	>70
JL2.bin108	59519	63.07	93.96	90	>90
XZ3.bin131	59519	21.44	88.86	80	>80
AH2.bin184	59499	19.99	91.31	90	>90
SD5.bin029	59459	16.83	94.97	90	>90
AH5.bin119	59437	37.25	92.73	90	>90
GX1.bin134	59344	37.52	87	80	>80
AH3.bin023	59312	17.27	96.25	90	>90
SD3.bin047	59272	33.19	92.06	90	>90
GX4.bin141	59260	29.07	95.73	90	>90
SD5.bin015	59218	32.09	95.97	90	>90
SX5.bin019	59194	21.02	82.26	80	>80
AH4.bin044	59188	196.85	75.01	70	>70
GX1.bin141	59188	49.21	76.57	70	>70
GX2.bin153	59162	32.53	94.41	90	>90
SD4.bin087	59123	118.35	90.85	90	>90
JL1.bin038	59050	22.81	86.89	80	>80
GX5.bin112	59027	114.23	90.98	90	>90
SX1.bin063	59022	19.55	93.06	90	>90
GX3.bin013	59005	37.29	97.32	90	>90
JL1.bin031	58991	29.36	89.05	80	>80
AH1.bin070	58990	51.03	74.88	70	>70
AH5.bin167	58988	47.49	91.71	90	>90
SD1.bin168	58976	20.34	84.29	80	>80
GX4.bin005	58955	28.72	82.21	80	>80
JL4.bin147	58883	58.47	87.46	80	>80
XZ2.bin139	58854	39.65	75.44	70	>70
GX4.bin096	58828	49.93	89.02	80	>80
GX4.bin132	58798	21.5	91.57	90	>90
JL1.bin085	58777	82.54	82.62	80	>80
JL1.bin006	58728	17.75	95.25	90	>90
GX1.bin017	58717	23.86	97.05	90	>90
GX5.bin073	58710	80.45	79.52	70	>70
GX3.bin042	58682	54.62	89.27	80	>80
XZ4.bin132	58642	17.92	93.01	90	>90
SD5.bin066	58617	23.12	75.87	70	>70
SD1.bin185	58567	29.41	93.06	90	>90
AH1.bin161	58544	17.6	86.22	80	>80
XZ1.bin154	58544	21.88	82.02	80	>80
XZ4.bin135	58517	36.98	78.03	70	>70
XZ4.bin087	58489	30.76	80.03	80	>80
XZ2.bin138	58463	152.16	82.95	80	>80
XZ5.bin056	58417	47.99	91.24	90	>90
GX2.bin022	58412	18.45	77.3	70	>70
JL5.bin136	58408	18.87	79.51	70	>70
AH5.bin106	58382	186.83	86.79	80	>80
XZ5.bin072	58355	27.39	72.57	70	>70
XZ1.bin034	58317	31.76	90.96	90	>90
SX4.bin009	58292	150.24	96.25	90	>90
AH1.bin150	58290	15.89	86.45	80	>80
